2025-02-24 12:08:42,422 - MacroTester - INFO - Visualization initialized (headless: True)
2025-02-24 12:08:42,422 - MacroTester - INFO - DirectInput initialized successfully
2025-02-24 12:08:42,422 - MacroTester - INFO - Test mode: Using mock window Test Window
2025-02-24 12:08:45,422 - MacroTester - INFO - Started recording mouse movements
Recording mouse movements for 10 seconds...
2025-02-24 12:08:45,422 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 400, 'y': 599, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398925.422953}
2025-02-24 12:08:45,523 - MacroTester - DEBUG - Recorded action: {'type': 'click', 'x': 440, 'y': 599, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398925.5231562}
2025-02-24 12:08:45,623 - MacroTester - DEBUG - Recorded drag start: {'type': 'drag', 'x': 440, 'y': 599, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398925.6236758}
2025-02-24 12:08:45,624 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 479, 'y': 598, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398925.6239913}
2025-02-24 12:08:45,724 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 518, 'y': 596, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398925.7244296}
2025-02-24 12:08:45,824 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 556, 'y': 593, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398925.8248808}
2025-02-24 12:08:45,925 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 592, 'y': 590, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398925.9252293}
2025-02-24 12:08:46,025 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 626, 'y': 586, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398926.025529}
2025-02-24 12:08:46,125 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 658, 'y': 581, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398926.125842}
2025-02-24 12:08:46,226 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 687, 'y': 576, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398926.2261605}
2025-02-24 12:08:46,326 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 714, 'y': 569, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398926.326496}
2025-02-24 12:08:46,426 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 737, 'y': 562, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398926.4268222}
2025-02-24 12:08:46,527 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 757, 'y': 555, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398926.527214}
2025-02-24 12:08:46,627 - MacroTester - DEBUG - Recorded action: {'type': 'move', 'x': 773, 'y': 547, 'button': 'left', 'duration': 0.1, 'scroll_amount': 0, 'key_code': None, 'text': None, 'timestamp': 1740398926.6275775}
